Field1,经度,纬度,行政区
滴水湖,121.9295,30.9072,浦东新区
洞泾,121.2304,31.0844,松江区
澄江路,121.4596,31.0841,闵行区
墨江路,121.4601,31.0727,闵行区
嘉松中路,121.224,31.1641,青浦区
西岑,120.9621,31.0697,青浦区
东方绿舟,121.0196,31.0986,青浦区
临港大道,121.9109,30.9235,浦东新区
书院,121.8506,30.9592,浦东新区
浦东机场3号航站楼,121.8179,31.1187,浦东新区
闵瑞路,121.5303,31.0479,闵行区
新场,121.6491,31.0456,浦东新区
航头东,121.6174,31.0549,浦东新区
鹤沙航城,121.6113,31.0778,浦东新区
惠南东,121.7937,31.0264,浦东新区
上海东站,121.7828,31.1113,浦东新区
野生动物园,121.6993,31.0504,浦东新区
迪士尼,121.6681,31.1412,浦东新区
唐黄路,121.6831,31.1435,浦东新区
度假区,121.6761,31.1596,浦东新区
远东大道,121.7552,31.1994,浦东新区
基隆路,121.5903,31.3513,浦东新区
凌空北路,121.6726,31.2935,浦东新区
长兴岛,121.7213,31.3893,崇明区
昌吉东路,121.2005,31.2936,嘉定区
上海赛车场,121.2262,31.3319,嘉定区
望园路,121.4836,30.9319,奉贤区
奉浦大道,121.449,30.9421,奉贤区
萧塘,121.4418,30.9659,奉贤区
松江南站,121.2309,30.9848,松江区
醉白池,121.2294,31.001,松江区
佘山,121.2297,31.1041,松江区
闵行开发区,121.3698,31.0006,闵行区
文井路,121.3808,31.0036,闵行区
江川东路,121.4653,31.0276,闵行区
紫竹高新区,121.4509,31.024,闵行区
元江路,121.432,31.0628,闵行区
虹建路,121.4451,31.0867,闵行区
吴泾北,121.4623,31.0627,闵行区
龙吴路,121.4567,31.0945,闵行区
景联路,121.4545,31.1014,徐汇区
曹联路,121.4437,31.0963,闵行区
华泾,121.4405,31.1127,徐汇区
华泾西,121.4402,31.1133,徐汇区
虹莘路,121.3803,31.1375,闵行区
上海植物园,121.4503,31.1491,徐汇区
龙瑞路,121.4529,31.1362,徐汇区
三林南,121.4856,31.126,浦东新区
凌兆新村,121.4896,31.1412,浦东新区
德州路,121.4777,31.1652,浦东新区
后滩,121.4738,31.1718,浦东新区
世博会博物馆,121.4815,31.1976,黄浦区
徐盈路,121.2539,31.1781,青浦区
徐泾北城,121.2418,31.1755,青浦区
赵巷,121.1923,31.1612,青浦区
迎宾三路,121.3272,31.1755,闵行区
蟠龙路,121.2786,31.1863,青浦区
蟠祥路,121.2873,31.1821,青浦区
诸光路,121.293,31.1917,青浦区
季乐路,121.2779,31.2112,闵行区
纪翟路,121.2782,31.2299,闵行区
芳乐路,121.2734,31.2201,闵行区
朱家角,121.0489,31.1006,青浦区
金海湖,121.4926,30.9287,奉贤区
东城一路,121.5321,31.0304,闵行区
汇臻路,121.5246,31.0252,闵行区
鹤涛路,121.5859,31.072,浦东新区
繁荣路,121.5706,31.1026,浦东新区
周浦东,121.607,31.11,浦东新区
三鲁公路,121.5274,31.0561,闵行区
六陈路,121.7126,31.1512,浦东新区
凌空路,121.7241,31.1929,浦东新区
创新中路,121.6737,31.2138,浦东新区
民雷路,121.6682,31.2684,浦东新区
高青路,121.5157,31.1598,浦东新区
芳华路,121.55,31.1931,浦东新区
秀沿路,121.5983,31.1381,浦东新区
罗山路,121.5932,31.1533,浦东新区
康新公路,121.6173,31.1305,浦东新区
申江南路,121.6285,31.1389,浦东新区
张江,121.6159,31.1512,浦东新区
康南路,121.6206,31.1665,浦东新区
军民公路,121.6175,31.1726,浦东新区
学林路,121.6143,31.1834,浦东新区
张衡路,121.6126,31.192,浦东新区
华夏中路,121.5832,31.1757,浦东新区
黄杨路,121.5911,31.234,浦东新区
龙东大道,121.6169,31.2208,浦东新区
浦东足球场,121.6155,31.2417,浦东新区
金粤路,121.629,31.242,浦东新区
桂桥路,121.6351,31.2494,浦东新区
金海路,121.6387,31.2632,浦东新区
金吉路,121.6285,31.2644,浦东新区
丹阳路,121.5312,31.2537,杨浦区
龙居路,121.5582,31.2566,浦东新区
复兴岛,121.5612,31.2807,杨浦区
殷高路,121.4956,31.3218,宝山区
国帆路,121.5131,31.3395,杨浦区
五洲大道,121.5892,31.3026,浦东新区
申江路,121.6268,31.2802,浦东新区
高宝路,121.6253,31.2905,浦东新区
外高桥保税区南,121.602,31.3216,浦东新区
张华浜,121.4986,31.3581,宝山区
双江路,121.5394,31.3537,浦东新区
高桥西,121.5494,31.3516,浦东新区
白银路,121.2454,31.3454,嘉定区
丰茂路,121.2952,31.3489,嘉定区
新成路,121.266,31.4038,嘉定区
嘉定西,121.2278,31.3771,嘉定区
武威路,121.3648,31.2766,普陀区
古浪路,121.3922,31.2846,普陀区
南大路,121.3804,31.2993,宝山区
祁安路,121.3849,31.2916,普陀区
丰翔路,121.3809,31.3082,宝山区
顾村公园,121.3731,31.3445,宝山区
场中路,121.4137,31.3037,宝山区
大康路,121.4207,31.3354,宝山区
友谊西路,121.428,31.3814,宝山区
呼兰路,121.463,31.3476,宝山区
江杨南路,121.4654,31.3499,宝山区
铁山路,121.4689,31.3597,宝山区
水产路,121.4628,31.3732,宝山区
铁力路,121.4611,31.4081,宝山区
美兰湖,121.3499,31.402,宝山区
松江体育中心,121.2305,31.016,松江区
松江新城,121.2307,31.0303,松江区
松江大学城,121.2326,31.0541,松江区
金平路,121.4101,31.0113,闵行区
华宁路,121.3952,31.0074,闵行区
北桥,121.41,31.0452,闵行区
西渡,121.4324,30.9893,奉贤区
紫龙路,121.4694,31.0338,闵行区
放鹤路,121.4662,31.0493,闵行区
东川路,121.4199,31.0183,闵行区
沪金高速,121.4353,31.0186,闵行区
永德路,121.4433,31.0392,闵行区
双柏路,121.4218,31.0832,闵行区
华泾路,121.4568,31.12,徐汇区
曙建路,121.4179,31.0905,闵行区
景西路,121.4188,31.0997,闵行区
虹梅南路,121.433,31.1039,闵行区
颛桥,121.4018,31.0669,闵行区
银都路,121.3902,31.0893,闵行区
春申路,121.3859,31.0983,闵行区
外环路,121.393,31.1208,闵行区
莘庄,121.3854,31.1111,闵行区
七莘路,121.3625,31.1317,闵行区
星中路,121.3688,31.1581,闵行区
顾戴路,121.3918,31.141,闵行区
莲花路,121.4028,31.1308,闵行区
虹梅路,121.3972,31.1604,徐汇区
东兰路,121.392,31.1558,闵行区
合川路,121.3847,31.1666,闵行区
虹漕路,121.4107,31.164,徐汇区
漕河泾开发区,121.3979,31.1707,徐汇区
姚虹路,121.4065,31.1916,长宁区
龙溪路,121.38,31.1944,长宁区
沪星路,121.3435,31.1637,闵行区
航中路,121.3553,31.1654,闵行区
紫藤路,121.3649,31.1696,闵行区
上海动物园,121.368,31.1903,长宁区
虹桥1号航站楼,121.3473,31.1913,长宁区
锦江乐园,121.4141,31.1423,徐汇区
朱梅路,121.4379,31.1244,徐汇区
罗秀路,121.4358,31.1316,徐汇区
龙启路,121.4493,31.1587,徐汇区
石龙路,121.4432,31.1579,徐汇区
华东理工大学,121.4292,31.1433,徐汇区
徐浦大桥,121.456,31.1272,徐汇区
龙耀路,121.4598,31.1597,徐汇区
云锦路,121.4584,31.1664,徐汇区
龙华,121.453,31.1726,徐汇区
长清路,121.4885,31.174,浦东新区
世博大道,121.4843,31.1827,浦东新区
东安路,121.455,31.1908,徐汇区
桂林公园,121.4196,31.167,徐汇区
龙漕路,121.4443,31.1695,徐汇区
漕溪路,121.4384,31.1768,徐汇区
上海游泳馆,121.4414,31.1792,徐汇区
吴中路,121.4139,31.1842,闵行区
延安西路,121.4171,31.2096,长宁区
交通大学,121.4352,31.2022,徐汇区
衡山路,121.4464,31.2046,徐汇区
中兴路,121.4689,31.2532,静安区
宝山路,121.4763,31.2516,静安区
东宝兴路,121.4803,31.26,虹口区
中山北路,121.4591,31.259,静安区
中宁路,121.4145,31.245,普陀区
广泉路,121.4127,31.2615,普陀区
新村路,121.4226,31.2639,普陀区
