Field1,经度,纬度,行政区
滴水湖,121.9254102,30.90956037,浦东新区
洞泾,121.2259808,31.08649131,松江区
澄江路,121.4550465,31.08608212,闵行区
墨江路,121.4555489,31.07468976,闵行区
嘉松中路,121.2195687,31.1661429,青浦区
西岑,120.9578607,31.07191794,青浦区
东方绿舟,121.0151565,31.10063547,青浦区
临港大道,121.9068194,30.92586612,浦东新区
书院,121.8464383,30.96149789,浦东新区
浦东机场,121.813643,31.1208458,浦东新区
闵瑞路,121.5259896,31.05010271,闵行区
新场,121.6448681,31.04785051,浦东新区
航头东,121.6132079,31.05718681,浦东新区
鹤沙航城,121.6071096,31.08007797,浦东新区
惠南东,121.7893946,31.02855761,浦东新区
上海东站,121.7784672,31.1133951,浦东新区
野生动物园,121.6949751,31.05255582,浦东新区
迪士尼,121.6638248,31.14336232,浦东新区
唐黄路,121.6787957,31.14563257,浦东新区
度假区,121.6718078,31.16173734,浦东新区
远东大道,121.7508282,31.20143034,浦东新区
基隆路,121.5860857,31.35345281,浦东新区
凌空北路,121.6683034,31.29558192,浦东新区
长兴岛,121.7169186,31.39127032,崇明区
昌吉东路,121.1960259,31.29555315,嘉定区
上海赛车场,121.2217565,31.33387059,嘉定区
望园路,121.4791357,30.93403501,奉贤区
奉浦大道,121.4444311,30.94414194,奉贤区
萧塘,121.437213,30.9679144,奉贤区
松江南站,121.2264895,30.98694946,松江区
醉白池,121.2249871,31.00313881,松江区
佘山,121.2252786,31.1061798,松江区
闵行开发区,121.3651935,31.00258086,闵行区
文井路,121.3761795,31.00556732,闵行区
江川东路,121.460768,31.02962851,闵行区
紫竹高新区,121.4463287,31.02599741,闵行区
元江路,121.4273868,31.06474271,闵行区
虹建路,121.4405097,31.08864999,闵行区
吴泾北,121.4577561,31.06470076,闵行区
龙吴路,121.4521376,31.09646958,闵行区
景联路,121.4499312,31.10336083,徐汇区
曹联路,121.4391058,31.09824206,闵行区
华泾,121.4358978,31.11462742,徐汇区
华泾西,121.4355971,31.11522659,徐汇区
虹莘路,121.3756684,31.13939187,闵行区
上海植物园,121.4457164,31.15102609,徐汇区
龙瑞路,121.448324,31.13813838,徐汇区
三林南,121.4811262,31.12802864,浦东新区
凌兆新村,121.485139,31.14323225,浦东新区
德州路,121.4731958,31.16718526,浦东新区
后滩,121.4692823,31.17377109,浦东新区
世博会博物馆,121.4770059,31.19957973,黄浦区
徐盈路,121.2494778,31.18014756,青浦区
徐泾北城,121.2373785,31.17754808,青浦区
赵巷,121.1878225,31.16320085,青浦区
迎宾三路,121.3226637,31.17745557,闵行区
蟠龙路,121.2741571,31.18832825,青浦区
蟠祥路,121.2828448,31.18412011,青浦区
诸光路,121.2885343,31.19370744,青浦区
季乐路,121.2734559,31.21321678,闵行区
纪翟路,121.2737539,31.23190767,闵行区
芳乐路,121.2689605,31.22211682,闵行区
朱家角,121.0443651,31.10255995,青浦区
金海湖,121.4881677,30.93086342,奉贤区
东城一路,121.5277968,31.03261757,闵行区
汇臻路,121.5202728,31.02740052,闵行区
鹤涛路,121.5817057,31.07428221,浦东新区
繁荣路,121.5663848,31.10485174,浦东新区
周浦东,121.6028084,31.11226208,浦东新区
三鲁公路,121.5230795,31.05829024,闵行区
六陈路,121.708248,31.1532803,浦东新区
凌空路,121.7197329,31.19494594,浦东新区
创新中路,121.6694079,31.21591488,浦东新区
民雷路,121.663914,31.27050071,浦东新区
高青路,121.511331,31.16190027,浦东新区
芳华路,121.5457345,31.19527041,浦东新区
秀沿路,121.5941064,31.14034872,浦东新区
罗山路,121.5890036,31.15554025,浦东新区
康新公路,121.6131018,31.13274463,浦东新区
申江南路,121.6242906,31.14112883,浦东新区
张江,121.611701,31.15343471,浦东新区
康南路,121.6163962,31.16872278,浦东新区
军民公路,121.6132982,31.17482236,浦东新区
学林路,121.6100994,31.18561932,浦东新区
张衡路,121.6083996,31.19421615,浦东新区
华夏中路,121.5789948,31.17792449,浦东新区
黄杨路,121.5868959,31.23619995,浦东新区
龙东大道,121.6126946,31.22299917,浦东新区
浦东足球场,121.6112938,31.2438906,浦东新区
金粤路,121.6247815,31.24417717,浦东新区
桂桥路,121.6308731,31.25156589,浦东新区
金海路,121.6344668,31.26535466,浦东新区
金吉路,121.6242802,31.2665679,浦东新区
丹阳路,121.5268753,31.25579802,杨浦区
龙居路,121.5539486,31.25875621,浦东新区
复兴岛,121.5569529,31.28285095,杨浦区
殷高路,121.4911451,31.3237675,宝山区
国帆路,121.5087066,31.34151345,杨浦区
五洲大道,121.5849891,31.30477013,浦东新区
申江路,121.6225808,31.28236322,浦东新区
高宝路,121.6210816,31.29266069,浦东新区
外高桥保税区,121.5977916,31.32376406,浦东新区
张华浜,121.4941528,31.36006386,宝山区
双江路,121.535092,31.35577972,浦东新区
高桥西,121.5451198,31.35370269,浦东新区
白银路,121.2409646,31.34737573,嘉定区
丰茂路,121.290717,31.35083794,嘉定区
新成路,121.261552,31.40575303,嘉定区
嘉定西,121.223354,31.37905693,嘉定区
武威路,121.3601774,31.27844301,普陀区
古浪路,121.3875463,31.28641376,普陀区
南大路,121.3757542,31.30111576,宝山区
祁安路,121.3802506,31.29341517,普陀区
丰翔路,121.3762529,31.31001186,宝山区
顾村公园,121.368459,31.34630656,宝山区
场中路,121.4090457,31.30550675,宝山区
大康路,121.4160486,31.33719962,宝山区
友谊西路,121.4233532,31.38319175,宝山区
呼兰路,121.4584336,31.34946719,宝山区
江杨南路,121.4608405,31.35177239,宝山区
铁山路,121.4643505,31.36157813,宝山区
水产路,121.4582308,31.37505838,宝山区
铁力路,121.4565228,31.40994417,宝山区
美兰湖,121.3452942,31.4038228,宝山区
松江体育中心,121.2260866,31.01813079,松江区
松江新城,121.2262855,31.03242257,松江区
松江大学城,121.2281848,31.05621005,松江区
金平路,121.4054693,31.01325434,闵行区
华宁路,121.3905691,31.00935643,闵行区
北桥,121.4053663,31.04713452,闵行区
西渡,121.4277938,30.99128613,奉贤区
紫龙路,121.46488,31.03583545,闵行区
放鹤路,121.4616688,31.05131819,闵行区
东川路,121.4152754,31.02025576,闵行区
沪金高速,121.4306961,31.02057293,闵行区
永德路,121.4387099,31.0411739,闵行区
双柏路,121.4171717,31.08511993,闵行区
华泾路,121.4522357,31.12195573,徐汇区
曙建路,121.4132674,31.09241277,闵行区
景西路,121.4141673,31.10160828,闵行区
虹梅南路,121.4283849,31.10582088,闵行区
颛桥,121.3971628,31.06882076,闵行区
银都路,121.3855644,31.09121126,闵行区
春申路,121.3812666,31.10020882,闵行区
外环路,121.3883602,31.12269255,闵行区
莘庄,121.3807659,31.11300209,闵行区
七莘路,121.3578938,31.13361621,闵行区
星中路,121.3641814,31.1599936,闵行区
顾戴路,121.387159,31.14288219,闵行区
莲花路,121.3981572,31.13268524,闵行区
虹梅路,121.3925553,31.16227017,徐汇区
东兰路,121.3873576,31.1576743,闵行区
合川路,121.3800617,31.16847301,闵行区
虹漕路,121.4060563,31.16586925,徐汇区
漕河泾,121.3932542,31.17256471,徐汇区
姚虹路,121.4018525,31.19345413,长宁区
龙溪路,121.3753638,31.19626286,长宁区
沪星路,121.3389283,31.16563089,闵行区
航中路,121.350704,31.16730957,闵行区
紫藤路,121.3602865,31.17149287,闵行区
上海动物园,121.3633798,31.19217825,长宁区
虹桥1号航站楼,121.3427178,31.19321009,长宁区
锦江乐园,121.4094601,31.14418214,徐汇区
朱梅路,121.4332917,31.12631682,徐汇区
罗秀路,121.4311873,31.13350973,徐汇区
龙启路,121.4447132,31.16061904,徐汇区
石龙路,121.4385994,31.15980788,徐汇区
华东理工大学,121.4245757,31.14519464,徐汇区
徐浦大桥,121.4514329,31.12915002,徐汇区
